cutout_file,source_image,source_label,class_id,class_name,original_bbox_xyxy,expanded_bbox_xyxy,crop_bbox_xyxy,image_width,image_height,bbox_area,mask_area,mask_bbox_area,sam_score
merchant/merchant_tr_0001_obj001.png,/home/sam/yolo/yolo/ultralytics/ultralytics/ship/data_origin/train/images/tr_0001.bmp,/home/sam/yolo/yolo/ultralytics/ultralytics/ship/data_origin/train/labels_origin/tr_0001.txt,1,merchant,"[354, 699, 391, 730]","[352, 697, 393, 732]","[356, 700, 390, 724]",930,930,1147,401,816,0.946270
naval/naval_tr_0001_obj002.png,/home/sam/yolo/yolo/ultralytics/ultralytics/ship/data_origin/train/images/tr_0001.bmp,/home/sam/yolo/yolo/ultralytics/ultralytics/ship/data_origin/train/labels_origin/tr_0001.txt,0,naval,"[373, 668, 438, 725]","[369, 665, 442, 728]","[363, 675, 435, 738]",930,930,3705,2513,4536,0.972104
other_vessel/other_vessel_tr_0001_obj003.png,/home/sam/yolo/yolo/ultralytics/ultralytics/ship/data_origin/train/images/tr_0001.bmp,/home/sam/yolo/yolo/ultralytics/ultralytics/ship/data_origin/train/labels_origin/tr_0001.txt,3,other_vessel,"[221, 696, 240, 723]","[220, 694, 241, 725]","[219, 694, 239, 722]",930,930,513,345,560,0.943632
merchant/merchant_tr_0001_obj004.png,/home/sam/yolo/yolo/ultralytics/ultralytics/ship/data_origin/train/images/tr_0001.bmp,/home/sam/yolo/yolo/ultralytics/ultralytics/ship/data_origin/train/labels_origin/tr_0001.txt,1,merchant,"[211, 690, 234, 724]","[209, 688, 236, 726]","[202, 691, 239, 722]",930,930,782,824,1147,0.972771
merchant/merchant_tr_0001_obj005.png,/home/sam/yolo/yolo/ultralytics/ultralytics/ship/data_origin/train/images/tr_0001.bmp,/home/sam/yolo/yolo/ultralytics/ultralytics/ship/data_origin/train/labels_origin/tr_0001.txt,1,merchant,"[201, 686, 224, 721]","[199, 684, 226, 723]","[202, 690, 238, 723]",930,930,805,827,1188,0.954353
merchant/merchant_tr_0001_obj006.png,/home/sam/yolo/yolo/ultralytics/ultralytics/ship/data_origin/train/images/tr_0001.bmp,/home/sam/yolo/yolo/ultralytics/ultralytics/ship/data_origin/train/labels_origin/tr_0001.txt,1,merchant,"[219, 658, 236, 683]","[218, 656, 237, 685]","[220, 662, 242, 686]",930,930,425,379,528,0.859014
merchant/merchant_tr_0001_obj007.png,/home/sam/yolo/yolo/ultralytics/ultralytics/ship/data_origin/train/images/tr_0001.bmp,/home/sam/yolo/yolo/ultralytics/ultralytics/ship/data_origin/train/labels_origin/tr_0001.txt,1,merchant,"[226, 662, 242, 685]","[225, 660, 243, 687]","[219, 662, 252, 689]",930,930,368,616,891,0.952684
merchant/merchant_tr_0001_obj008.png,/home/sam/yolo/yolo/ultralytics/ultralytics/ship/data_origin/train/images/tr_0001.bmp,/home/sam/yolo/yolo/ultralytics/ultralytics/ship/data_origin/train/labels_origin/tr_0001.txt,1,merchant,"[233, 665, 248, 688]","[232, 663, 249, 690]","[227, 663, 253, 689]",930,930,345,479,676,0.948784
merchant/merchant_tr_0001_obj009.png,/home/sam/yolo/yolo/ultralytics/ultralytics/ship/data_origin/train/images/tr_0001.bmp,/home/sam/yolo/yolo/ultralytics/ultralytics/ship/data_origin/train/labels_origin/tr_0001.txt,1,merchant,"[239, 667, 254, 688]","[238, 665, 255, 690]","[232, 664, 253, 689]",930,930,315,386,525,0.921698
merchant/merchant_tr_0001_obj010.png,/home/sam/yolo/yolo/ultralytics/ultralytics/ship/data_origin/train/images/tr_0001.bmp,/home/sam/yolo/yolo/ultralytics/ultralytics/ship/data_origin/train/labels_origin/tr_0001.txt,1,merchant,"[176, 652, 217, 709]","[173, 649, 220, 712]","[179, 655, 214, 704]",930,930,2337,934,1715,0.959523
